Best for upgrades,Rare,Name,Skills,Aspect level,Aspect,Principles,Type,Additional,Source
No,No,Regensburg Balm,"Edicts Inviolable , Herbs & Infusions , Maggephene Mysteries , Quenchings & Quellings , Surgeries & Exsanguinations ",5,Heart,"2 Heart, 2 Nectar",Liquid,,Crafting
No,No,Rubywise Ruin,"Applebright Euphonies , Desires & Dissolutions , Leaves & Thorns , Orchids & Narcotics ",10,Grail,"2 Heart, 2 Moth, 2 Nectar, 2 Rose, 4 Grail","Beverage, Liquid",,Crafting
Yes,No,Sacrament Ascite,"Door & Wall , Edicts Liminal , Glassblowing & Vesselcrafting , Horns & Ivories , Solutions & Separations ",15,"Knock, Moon",6 Knock,"Beverage, Liquid",,Crafting
Yes,No,Sacrament Calicite,"Applebright Euphonies , Leaves & Thorns , Orchids & Narcotics , Sea Stories , Tridesma Hiera ",15,Grail,6 Grail,"Beverage, Liquid",,Crafting
No,No,Sacrament Malachite,"Coil & Chasm , Drums & Dances , Herbs & Infusions , Leaves & Thorns , Rites of the Roots , Spices & Savours , Stone Stories ",15,Edge,6 Nectar,"Beverage, Intoxicating, Liquid, Restorative, Thing","Pyrus Auricalcinus Essential Periost",Crafting
No,Yes,Salt-Sign,"Hill & Hollow , Sea Stories , Inks of Power , Path & Pilgrim , Pearl & Tide , Sand Stories ",5,"Moon, Rose","2 Moon, 2 Rose","Mark, Thing","Beachcombing - Numa, The Gull Colony - Numa","Beachcombing, Crafting, The Gull-Colony"
Yes,Yes,Savage Hymn,"Drums & Dances , Stone Stories ",5,"Nectar, Scale","2 Scale, 2 Sky","Memory, Sound",,Crafting
Yes,No,Secret Threshold,"Door & Wall , Edicts Liminal , Horns & Ivories , Preliminal Meter ",5,Knock,"1 Rose, 2 Knock",Memory,,Crafting
Yes,No,Serpent-Milk,"Disciplines of the Scar , Meniscate Reflections , Sharps , Sickle & Eclipse , Serpents & Venoms ",15,"Edge, Scale","2 Knock, 3 Scale, 6 Edge",Beverage,,Crafting
Yes,Yes,Skinshuck Mead,"Insects & Nectars , Edicts Liminal , Rites of the Roots , Sacra Limiae , Solutions & Separations , Resurgences & Emergences , Transformations & Liberations ",15,"Moon, Moth","2 Heart, 2 Nectar, 2 Scale, 6 Moth","Beverage, Liquid, Thing",,Crafting
Yes,No,Solomon's Preparation,"Inks of Containment , Quenchings & Quellings , Ragged Crossroads , Sights & Sensations , Maggephene Mysteries ",10,Winter,"1 Moon, 1 Moth, 4 Winter","Beverage, Liquid",,Crafting
No,No,Stargall Ink,"Inks of Containment , Inks of Power , Inks of Revelation ",5,Sky,2 Sky,"Ink, Liquid",,Crafting
No,No,Stymphling,"Rhyme & Remembrance , Sand Stories , Serpents & Venoms , Snow Stories , Tridesma Hiera ",10,Moon,"3 Moon, 3 Scale",Beast,,Crafting
No,No,Swaddled Thunder,"Quenchings & Quellings , Stitching & Binding , Weaving & Knotworking , Drums & Dances , Strings & Songs ",15,Heart,"4 Sky, 6 Heart","Fabric, Thing",,Crafting
No,Yes,Tanglebrag,"Watchman's Paradoxes , Edicts Liminal , Resurgences & Emergences , Rites of the Roots , Weaving & Knotworking ",5,"Lantern, Moth","1 Lantern, 1 Nectar, 1 Scale, 2 Moth","Material, Thing",,Crafting
No,No,Thirza's Cordials,"Coil & Chasm , Herbs & Infusions , Orchids & Narcotics , Spices & Savours , Stone Stories ",5,Edge,"2 Moth, 2 Nectar","Beverage, Liquid, Restorative, Thing",,Crafting
Yes,No,Thunderskin's Paean,"Drums & Dances , Strings & Songs ",10,Heart,"1 Grail, 1 Scale, 4 Heart","Evolve via Preservation, Memory, Sound",,Crafting
Yes,No,Torgue's Cleansing,"Auroral Contemplations , Disciplines of the Scar , Meniscate Reflections , Sharps , Purifications & Exaltations ",5,"Edge, Sky",2 Edge,Memory,,Crafting
No,No,Uzult,"Anbary & Lapidary , Glaziery & Lightsmithing , Inks of Revelation , Sacra Solis Invicti , Watchman's Paradoxes ",15,Lantern,"7 Lantern, 7 Moth, 7 Sky","Encaustum Terminale, Ink, Liquid",,Crafting
No,No,Wescott's Compounds,"Meniscate Reflections , Pyroglyphics , Spices & Savours , Sacra Limiae , Solutions & Separations ",5,"Forge, Moth","1 Grail, 1 Lantern, 1 Moth, 1 Nectar, 2 Forge","Material, Thing",,Crafting
Yes,No,Wind-in-Waiting,"Furs & Feathers , Sacra Solis Invicti , Sky Stories , Strings & Songs ",15,Sky,"3 Grail, 3 Moth, 3 Scale, 6 Sky","Memory, Persistent",,Crafting
Yes,No,Winning Move,"Auroral Contemplations , Disciplines of the Hammer , Meniscate Reflections , Ragged Crossroads , Sharps ",10,Edge,3 Edge,Memory,,Crafting
No,No,Orichalcum Wire,"Bells & Brazieries , Disciplines of the Hammer , Door & Wall , Glassblowing & Vesselcrafting , Lockworks & Clockworks ",10,"Forge, Knock, Sky","1 Lantern, 4 Forge","Material, Metal",,Crafting
No,No,Wistful Air,"Bells & Brazieries , Ouranoscopy , Sky Stories , Strings & Songs , Watchman's Paradoxes ",5,Sky,"2 Rose, 2 Sky","Memory, Sound",Beehive - Numa,"Beehive, Crafting"
No,No,Witching Tisane,"Desires & Dissolutions , Leaves & Thorns , Orchids & Narcotics , Sea Stories , The Great Signs and the Great Scars ",5,Grail,"1 Heart, 2 Grail","Beverage, Liquid",,Crafting
Yes,No,Wormwood Dream,"Edicts Inviolable , Rhyme & Remembrance , Sickle & Eclipse , Snow Stories , Wolf Stories , Edicts Martial ",10,Moon,"2 Edge, 6 Moon, 6 Winter","Memory, Omen",,Crafting
Yes,No,Wormwood Dream,"Edicts Inviolable , Rhyme & Remembrance , Sickle & Eclipse , Snow Stories , Wolf Stories , Edicts Martial ",15,Moon,"2 Edge, 6 Moon, 6 Winter","Memory, Omen",,Crafting
No,Yes,Wyrd-Weft,"Stitching & Binding , Weaving & Knotworking ",15,Winter,"3 Heart, 6 Winter","Fabric, Thing",Fabric,Crafting
Yes,No,Xanthotic Essence,"Auroral Contemplations , Purifications & Exaltations , Pyroglyphics , Transformations & Liberations , Anbary & Lapidary ",10,Lantern,"2 Forge, 2 Knock, 5 Lantern","Liquid, Pigment",,Crafting
Yes,No,Xanthotic Essence,"Auroral Contemplations , Purifications & Exaltations , Pyroglyphics , Transformations & Liberations , Anbary & Lapidary ",15,Lantern,"2 Forge, 2 Knock, 5 Lantern","Liquid, Pigment",,Crafting
No,Yes,Year Tally,"Ouranoscopy , Putrefactions & Calcinations , Ragged Crossroads , Rhyme & Remembrance , Snow Stories ",15,"Sky, Winter",6 Winter,"Mark, Thing",,Crafting
Yes,No,Yewgall Ink,"Inks of Containment , Inks of Power , Inks of Revelation , Insects & Nectars , Leaves & Thorns , Rites of the Roots ",5,"Nectar, Winter",2 Nectar,"Ink, Liquid",,Crafting
